,0
2019-06-19,2.50204455
2019-06-20,2.458011483
2019-06-21,2.02044123
2019-06-22,1.862995209
2019-06-23,0.792017379
2019-06-24,2.250149185
2019-06-25,1.966164711
2019-06-26,3.117795105
2019-06-27,2.937739077
2019-06-28,2.410146366
2019-06-29,2.978830956
2019-06-30,1.763158194
2019-07-01,1.396769281
2019-07-02,2.427938171
2019-07-03,2.638596806
2019-07-04,2.604444982
2019-07-05,1.587404728
2019-07-06,3.55028029
2019-07-07,4.011101395
2019-07-08,2.447232653
2019-07-09,2.298333296
2019-07-10,3.15921327
2019-07-11,3.068289625
2019-07-12,3.170505999
2019-07-13,2.242341103
2019-07-14,2.522503399
2019-07-15,1.598707046
2019-07-16,2.550105415
2019-07-17,3.42980664
2019-07-18,3.924506307
2019-07-19,3.01242117
2019-07-20,2.642590833
2019-07-21,2.213069302
2019-07-22,2.791658344
2019-07-23,2.883674253
2019-07-24,2.64412112
2019-07-25,3.876139924
2019-07-26,3.382223177
2019-07-27,4.663324436
2019-07-28,2.848981622
2019-07-29,3.708507582
2019-07-30,4.077301932
2019-07-31,3.403682693
2019-08-01,2.767784712
2019-08-02,3.843709934
2019-08-03,3.238416016
2019-08-04,3.909956762
2019-08-05,2.85528104
2019-08-06,2.808103033
2019-08-07,3.41363626
2019-08-08,4.26583143
2019-08-09,4.877153811
2019-08-10,2.733587866
2019-08-11,3.884475263
2019-08-12,3.836566375
2019-08-13,3.456819174
2019-08-14,3.993491864
2019-08-15,3.819523831
2019-08-16,3.745122836
2019-08-17,2.957337071
2019-08-18,4.524189505
2019-08-19,3.913838063
2019-08-20,3.591359441
2019-08-21,3.331269623
2019-08-22,4.704830173
2019-08-23,3.323599499
2019-08-24,4.424049929
2019-08-25,4.159649102
2019-08-26,3.89412992
2019-08-27,4.490887007
2019-08-28,4.228512412
2019-08-29,5.042198513
2019-08-30,4.794955713
2019-08-31,3.706041341
2019-09-01,4.006918438
2019-09-02,4.451050083
2019-09-03,5.043710397
2019-09-04,4.651390185
2019-09-05,3.639705989
2019-09-06,4.499256172
2019-09-07,4.017179576
2019-09-08,4.071061828
2019-09-09,4.710971081
2019-09-10,3.915466285
2019-09-11,5.017207852
2019-09-12,4.965880222
2019-09-13,4.283957777
2019-09-14,5.43690929
2019-09-15,5.498080682
2019-09-16,4.108804481
2019-09-17,5.031614463
2019-09-18,4.564500773
2019-09-19,3.51536076
2019-09-20,4.466921621
2019-09-21,4.472514954
2019-09-22,5.322036259
2019-09-23,4.898184956
2019-09-24,5.549719986
2019-09-25,5.149397857
2019-09-26,3.540582597
2019-09-27,5.434332695
2019-09-28,5.749476429
2019-09-29,4.032369332
2019-09-30,5.209443911
2019-10-01,4.558256907
2019-10-02,6.551425778
2019-10-03,4.312585377
2019-10-04,4.177972114
2019-10-05,5.867661359
2019-10-06,4.431453296
2019-10-07,5.794740824
2019-10-08,5.502572891
2019-10-09,5.064833283
2019-10-10,4.784724469
2019-10-11,4.878959232
2019-10-12,5.18689519
2019-10-13,4.394352553
2019-10-14,4.890041594
2019-10-15,4.130308876
2019-10-16,4.665222645
2019-10-17,4.377564812
2019-10-18,5.099456487
2019-10-19,3.854879941
2019-10-20,4.465973254
2019-10-21,4.833192401
2019-10-22,5.042773291
2019-10-23,4.315362874
2019-10-24,2.682668693
2019-10-25,4.40333088
2019-10-26,4.255863772
2019-10-27,5.286087164
2019-10-28,4.108998898
2019-10-29,3.496232734
2019-10-30,3.600693071
2019-10-31,4.253496246
2019-11-01,4.36787015
2019-11-02,4.97190889
2019-11-03,3.991238953
2019-11-04,4.504467513
2019-11-05,3.741239898
2019-11-06,4.268469098
2019-11-07,3.581383836
2019-11-08,3.980880358
2019-11-09,4.183407958
2019-11-10,2.065893985
2019-11-11,4.058215421
2019-11-12,4.37589399
2019-11-13,3.755322073
2019-11-14,3.170798413
2019-11-15,4.357596552
2019-11-16,3.127786324
2019-11-17,3.948112413
2019-11-18,3.501071304
2019-11-19,2.955017194
2019-11-20,4.002024783
2019-11-21,3.138675957
2019-11-22,3.299723718
2019-11-23,3.021571774
2019-11-24,3.130502376
2019-11-25,3.688759
2019-11-26,4.111543285
2019-11-27,3.554811707
2019-11-28,3.417136991
2019-11-29,3.740834978
2019-11-30,3.816507379
2019-12-01,2.806941096
2019-12-02,3.298233652
2019-12-03,3.564958377
2019-12-04,2.911067527
2019-12-05,3.439314067
2019-12-06,0.916010744
2019-12-07,2.109362299
2019-12-08,3.896425261
2019-12-09,1.717940536
2019-12-10,3.54270857
2019-12-11,1.514056287
2019-12-12,2.22156836
2019-12-13,1.930026768
2019-12-14,2.269913633
2019-12-15,2.121643158
2019-12-16,2.039968957
2019-12-17,2.324181626
2019-12-18,2.135949743
2019-12-19,2.903186475
2019-12-20,2.384575373
2019-12-21,2.454728648
2019-12-22,1.751309756
2019-12-23,2.281191685
2019-12-24,2.49418161
2019-12-25,2.294157606
2019-12-26,2.590026785
2019-12-27,2.293214441
2019-12-28,2.315626236
2019-12-29,2.038401057
2019-12-30,2.017972276
2019-12-31,2.68913663
2020-01-01,3.187054784
2020-01-02,1.843076782
2020-01-03,1.798239464
2020-01-04,2.013760803
2020-01-05,2.286942372
2020-01-06,1.512636634
2020-01-07,1.642038565
2020-01-08,2.06053709
2020-01-09,2.025240974
2020-01-10,1.931030251
2020-01-11,1.531762802
2020-01-12,2.918687776
2020-01-13,1.769650075
2020-01-14,2.714186399
2020-01-15,2.168593156
2020-01-16,0.556439937
2020-01-17,1.351164636
2020-01-18,1.65021001
2020-01-19,2.448905437
2020-01-20,2.121929652
2020-01-21,2.150673931
2020-01-22,2.356071017
2020-01-23,2.152258017
2020-01-24,2.785087811
2020-01-25,2.413797882
2020-01-26,2.549029252
2020-01-27,1.345319283
2020-01-28,1.266270146
2020-01-29,1.526244014
2020-01-30,1.524070097
2020-01-31,2.70406231
2020-02-01,2.394123559
2020-02-02,2.116733534
2020-02-03,1.693919955
2020-02-04,2.503053727
2020-02-05,1.744609245
2020-02-06,1.731691973
2020-02-07,1.259798482
2020-02-08,1.926061283
2020-02-09,2.669840333
2020-02-10,1.770411299
2020-02-11,1.961328256
2020-02-12,1.523143896
2020-02-13,2.396178545
2020-02-14,2.270241864
2020-02-15,2.614868599
2020-02-16,2.241836512
2020-02-17,1.828568244
2020-02-18,0.334590052
2020-02-19,2.755586874
2020-02-20,2.212390971
2020-02-21,2.324055219
2020-02-22,1.957851458
2020-02-23,2.819702483
2020-02-24,1.974822804
2020-02-25,2.509024533
2020-02-26,3.254170988
2020-02-27,2.398868178
2020-02-28,2.511925529
2020-02-29,2.266233284
2020-03-01,1.61133956
2020-03-02,2.409082202
2020-03-03,1.827509824
2020-03-04,1.96878551
2020-03-05,3.118272829
2020-03-06,1.92325875
2020-03-07,2.130121688
2020-03-08,2.214829571
2020-03-09,1.956572891
2020-03-10,0.947753883
2020-03-11,2.139300149
2020-03-12,1.168097078
2020-03-13,1.831708387
2020-03-14,2.069717051
2020-03-15,2.973210733
2020-03-16,0.6593205
2020-03-17,3.926108638
2020-03-18,2.342251873
2020-03-19,1.734037261
2020-03-20,2.300337119
2020-03-21,1.547318028
2020-03-22,2.043517069
2020-03-23,2.550081449
2020-03-24,0.740969843
2020-03-25,1.131062836
2020-03-26,0.823307297
2020-03-27,1.192554462
2020-03-28,1.396675931
2020-03-29,1.792226061
2020-03-30,2.135340117
2020-03-31,1.529869112
2020-04-01,2.257101464
2020-04-02,2.012146843
2020-04-03,1.59492825
2020-04-04,2.056981336
2020-04-05,2.188284824
2020-04-06,2.634013384
2020-04-07,2.076020536
2020-04-08,2.212496285
2020-04-09,1.91886303
2020-04-10,3.315086626
2020-04-11,3.224397988
2020-04-12,2.512812857
2020-04-13,1.747512888
2020-04-14,4.608007924
2020-04-15,4.931171294
2020-04-16,5.212987921
2020-04-17,6.019761315
2020-04-18,4.142415049
2020-04-19,4.497918589
2020-04-20,3.810882957
2020-04-21,5.248776177
2020-04-22,4.645169972
2020-04-23,5.146961485
2020-04-24,5.213210929
2020-04-25,4.91228692
2020-04-26,4.522281308
2020-04-27,5.382718641
2020-04-28,4.62337519
2020-04-29,4.881781051
2020-04-30,5.833972138
2020-05-01,4.777829763
2020-05-02,4.347626328
2020-05-03,4.93554502
2020-05-04,4.104264774
2020-05-05,4.798900269
2020-05-06,4.561624607
2020-05-07,5.085932352
2020-05-08,4.160224914
2020-05-09,4.517998685
2020-05-10,5.683362327
2020-05-11,4.962360543
2020-05-12,3.814432007
2020-05-13,5.456318156
2020-05-14,4.042057183
2020-05-15,4.574661876
2020-05-16,4.624772133
2020-05-17,5.309219751
2020-05-18,5.580737214
2020-05-19,5.400915397
2020-05-20,5.962747913
2020-05-21,4.643389445
2020-05-22,6.276852
2020-05-23,4.682296362
2020-05-24,4.457994767
2020-05-25,4.707597494
2020-05-26,5.172646431
2020-05-27,5.453237349
2020-05-28,5.392444976
2020-05-29,3.821337624
2020-05-30,3.748328615
2020-05-31,5.539649627
2020-06-01,4.827265704
2020-06-02,4.685384788
2020-06-03,4.767678635
2020-06-04,5.515684075
2020-06-05,5.234681004
2020-06-06,6.270278853
2020-06-07,5.039652254
2020-06-08,4.617237134
2020-06-09,3.89792929
2020-06-10,3.906911323
2020-06-11,4.520844736
2020-06-12,5.825972798
2020-06-13,5.620101458
2020-06-14,6.051711682
2020-06-15,4.843937968
2020-06-16,5.291690555
2020-06-17,4.49699846
2020-06-18,5.246676085
2020-06-19,4.934654741
2020-06-20,5.706580409
2020-06-21,4.089760187
2020-06-22,5.670938121
2020-06-23,6.03819157
2020-06-24,4.531909295
2020-06-25,3.863011871
2020-06-26,4.786600426
2020-06-27,4.781919543
2020-06-28,4.693524635
2020-06-29,4.4448487
2020-06-30,4.247049562
2020-07-01,4.660943458
2020-07-02,5.327707707
2020-07-03,4.996674724
2020-07-04,4.574584129
2020-07-05,5.996837398
2020-07-06,4.450211922
2020-07-07,3.970317792
2020-07-08,5.277355103
